"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
312,21 Oct 2021 20:16:46.547,21 Oct 2021 20:24:01.390,434.843
313,22 Oct 2021 09:11:08.773,22 Oct 2021 09:18:21.829,433.056
314,22 Oct 2021 10:45:52.002,22 Oct 2021 10:49:25.562,213.560
315,22 Oct 2021 19:51:00.659,22 Oct 2021 19:58:08.413,427.754
316,22 Oct 2021 21:26:29.075,22 Oct 2021 21:30:06.682,217.607
317,23 Oct 2021 08:45:27.205,23 Oct 2021 08:52:15.212,408.007
318,23 Oct 2021 10:19:16.241,23 Oct 2021 10:24:45.623,329.382
319,23 Oct 2021 19:25:31.224,23 Oct 2021 19:32:06.571,395.347
320,23 Oct 2021 20:59:23.237,23 Oct 2021 21:05:08.076,344.839
321,24 Oct 2021 08:19:58.979,24 Oct 2021 08:25:47.434,348.455
322,24 Oct 2021 09:53:02.590,24 Oct 2021 09:59:35.924,393.334
323,24 Oct 2021 19:00:20.591,24 Oct 2021 19:05:53.525,332.934
324,24 Oct 2021 20:32:54.364,24 Oct 2021 20:39:40.604,406.240
325,25 Oct 2021 07:54:58.265,25 Oct 2021 07:58:44.062,225.797
326,25 Oct 2021 09:27:00.340,25 Oct 2021 09:34:07.226,426.886
327,25 Oct 2021 18:35:38.775,25 Oct 2021 18:39:19.308,220.533
328,25 Oct 2021 20:06:46.945,25 Oct 2021 20:13:59.499,432.554
329,26 Oct 2021 09:01:06.986,26 Oct 2021 09:08:22.040,435.054
330,26 Oct 2021 10:36:11.956,26 Oct 2021 10:38:55.574,163.618
331,26 Oct 2021 19:40:56.804,26 Oct 2021 19:48:08.790,431.986
332,26 Oct 2021 21:17:02.488,26 Oct 2021 21:19:38.567,156.080
333,27 Oct 2021 08:35:22.736,27 Oct 2021 08:42:20.116,417.380
334,27 Oct 2021 10:09:23.922,27 Oct 2021 10:14:29.904,305.982
335,27 Oct 2021 19:15:22.993,27 Oct 2021 19:22:09.355,406.362
336,27 Oct 2021 20:49:36.927,27 Oct 2021 20:54:57.514,320.587
