"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
213,18 Sep 2021 08:39:53.098,18 Sep 2021 08:42:13.624,140.526
214,19 Sep 2021 01:20:24.231,19 Sep 2021 01:22:46.231,142.000
215,19 Sep 2021 02:54:05.657,19 Sep 2021 03:00:21.336,375.679
216,19 Sep 2021 04:30:06.890,19 Sep 2021 04:36:38.586,391.696
217,19 Sep 2021 06:06:24.223,19 Sep 2021 06:12:54.952,390.728
218,19 Sep 2021 07:42:52.463,19 Sep 2021 07:48:20.920,328.458
219,20 Sep 2021 01:58:59.754,20 Sep 2021 02:04:14.539,314.786
220,20 Sep 2021 03:34:16.847,20 Sep 2021 03:40:46.786,389.939
221,20 Sep 2021 05:10:32.245,20 Sep 2021 05:17:03.876,391.631
222,20 Sep 2021 06:46:49.046,20 Sep 2021 06:53:08.677,379.631
223,20 Sep 2021 08:24:03.970,20 Sep 2021 08:27:16.163,192.194
224,21 Sep 2021 01:05:54.128,21 Sep 2021 01:06:30.272,36.144
225,21 Sep 2021 02:38:42.021,21 Sep 2021 02:44:52.755,370.734
226,21 Sep 2021 04:14:39.010,21 Sep 2021 04:21:10.765,391.755
227,21 Sep 2021 05:50:56.546,21 Sep 2021 05:57:27.809,391.263
228,21 Sep 2021 07:27:21.519,21 Sep 2021 07:33:01.806,340.287
229,22 Sep 2021 01:43:43.507,22 Sep 2021 01:48:41.688,298.181
230,22 Sep 2021 03:18:50.279,22 Sep 2021 03:25:19.069,388.789
231,22 Sep 2021 04:55:04.337,22 Sep 2021 05:01:35.913,391.575
232,22 Sep 2021 06:31:20.919,22 Sep 2021 06:37:43.813,382.894
233,22 Sep 2021 08:08:21.929,22 Sep 2021 08:12:11.084,229.155
234,23 Sep 2021 02:23:19.117,23 Sep 2021 02:29:23.856,364.740
235,23 Sep 2021 03:59:11.215,23 Sep 2021 04:05:42.988,391.773
236,23 Sep 2021 05:35:28.861,23 Sep 2021 05:42:00.438,391.576
237,23 Sep 2021 07:11:51.271,23 Sep 2021 07:17:41.527,350.256
238,24 Sep 2021 01:28:29.141,24 Sep 2021 01:33:07.458,278.316
239,24 Sep 2021 03:03:24.074,24 Sep 2021 03:09:51.291,387.217
240,24 Sep 2021 04:39:36.396,24 Sep 2021 04:46:07.940,391.545
241,24 Sep 2021 06:15:52.949,24 Sep 2021 06:22:18.422,385.472
242,24 Sep 2021 07:52:43.688,24 Sep 2021 07:57:01.686,257.997
243,25 Sep 2021 02:07:57.032,25 Sep 2021 02:13:54.573,357.541
244,25 Sep 2021 03:43:43.534,25 Sep 2021 03:50:15.252,391.718
245,25 Sep 2021 05:20:01.154,25 Sep 2021 05:26:32.885,391.732
246,25 Sep 2021 06:56:21.581,25 Sep 2021 07:02:20.231,358.650
247,26 Sep 2021 01:13:17.127,26 Sep 2021 01:17:31.386,254.258
248,26 Sep 2021 02:47:58.285,26 Sep 2021 02:54:23.427,385.143
249,26 Sep 2021 04:24:08.430,26 Sep 2021 04:30:39.977,391.547
250,26 Sep 2021 06:00:25.098,26 Sep 2021 06:06:52.569,387.471
251,26 Sep 2021 07:37:07.918,26 Sep 2021 07:41:49.296,281.378
252,27 Sep 2021 01:52:35.874,27 Sep 2021 01:58:24.809,348.935
253,27 Sep 2021 03:28:16.004,27 Sep 2021 03:34:47.547,391.543
254,27 Sep 2021 05:04:33.410,27 Sep 2021 05:11:05.186,391.776
255,27 Sep 2021 06:40:52.358,27 Sep 2021 06:46:58.025,365.667
256,28 Sep 2021 00:58:08.240,28 Sep 2021 01:01:52.708,224.469
257,28 Sep 2021 02:32:32.967,28 Sep 2021 02:38:55.435,382.468
258,28 Sep 2021 04:08:40.457,28 Sep 2021 04:15:12.039,391.582
259,28 Sep 2021 05:44:57.332,28 Sep 2021 05:51:26.310,388.978
260,28 Sep 2021 07:21:33.908,28 Sep 2021 07:26:34.640,300.732
261,29 Sep 2021 01:37:15.755,29 Sep 2021 01:42:54.469,338.714
262,29 Sep 2021 03:12:48.664,29 Sep 2021 03:19:19.863,391.199
263,29 Sep 2021 04:49:05.626,29 Sep 2021 04:55:37.377,391.751
264,29 Sep 2021 06:25:23.507,29 Sep 2021 06:31:35.010,371.503
265,29 Sep 2021 08:03:32.862,29 Sep 2021 08:04:36.916,64.054
266,30 Sep 2021 00:43:03.963,30 Sep 2021 00:46:09.938,185.975
267,30 Sep 2021 02:17:08.181,30 Sep 2021 02:23:27.284,379.103
268,30 Sep 2021 03:53:12.495,30 Sep 2021 03:59:44.133,391.639
269,30 Sep 2021 05:29:29.619,30 Sep 2021 05:35:59.692,390.074
270,30 Sep 2021 07:06:01.228,30 Sep 2021 07:11:18.154,316.926
271,1 Oct 2021 01:21:56.814,1 Oct 2021 01:27:23.415,326.601
272,1 Oct 2021 02:57:21.556,1 Oct 2021 03:03:52.187,390.631
273,1 Oct 2021 04:33:37.797,1 Oct 2021 04:40:09.484,391.687
274,1 Oct 2021 06:09:54.968,1 Oct 2021 06:16:11.275,376.307
275,1 Oct 2021 07:47:26.470,1 Oct 2021 07:49:57.170,150.700
276,2 Oct 2021 00:28:08.201,2 Oct 2021 00:30:19.193,130.991
277,2 Oct 2021 02:01:43.993,2 Oct 2021 02:07:58.918,374.925
278,2 Oct 2021 03:37:44.566,2 Oct 2021 03:44:16.274,391.709
279,2 Oct 2021 05:14:01.936,2 Oct 2021 05:20:32.771,390.835
280,2 Oct 2021 06:50:29.581,2 Oct 2021 06:56:00.140,330.559
281,3 Oct 2021 01:06:39.247,3 Oct 2021 01:11:51.476,312.229
282,3 Oct 2021 02:41:54.721,3 Oct 2021 02:48:24.495,389.773
283,3 Oct 2021 04:18:09.923,3 Oct 2021 04:24:41.545,391.622
284,3 Oct 2021 05:54:26.672,3 Oct 2021 06:00:46.894,380.222
285,3 Oct 2021 07:31:38.946,3 Oct 2021 07:34:58.016,199.070
286,4 Oct 2021 01:46:20.473,4 Oct 2021 01:52:30.290,369.817
287,4 Oct 2021 03:22:16.697,4 Oct 2021 03:28:48.459,391.762
288,4 Oct 2021 04:58:34.259,4 Oct 2021 05:05:05.588,391.329
289,4 Oct 2021 06:34:58.762,4 Oct 2021 06:40:40.822,342.060
290,5 Oct 2021 00:51:23.286,5 Oct 2021 00:56:18.422,295.136
291,5 Oct 2021 02:26:28.210,5 Oct 2021 02:32:56.773,388.563
292,5 Oct 2021 04:02:42.009,5 Oct 2021 04:09:13.577,391.568
293,5 Oct 2021 05:38:58.574,5 Oct 2021 05:45:21.940,383.366
294,5 Oct 2021 07:15:57.677,5 Oct 2021 07:19:52.080,234.403
295,6 Oct 2021 01:30:57.697,6 Oct 2021 01:37:01.334,363.636
296,6 Oct 2021 03:06:48.919,6 Oct 2021 03:13:20.689,391.771
297,6 Oct 2021 04:43:06.572,6 Oct 2021 04:49:38.184,391.612
298,6 Oct 2021 06:19:28.612,6 Oct 2021 06:25:20.366,351.754
299,7 Oct 2021 00:36:09.272,7 Oct 2021 00:40:43.923,274.651
300,7 Oct 2021 02:11:02.070,7 Oct 2021 02:17:28.984,386.915
