"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
236,26 Sep 2021 10:00:31.950,26 Sep 2021 10:07:19.518,407.568
237,26 Sep 2021 11:35:55.788,26 Sep 2021 11:44:14.239,498.451
238,26 Sep 2021 20:58:22.846,26 Sep 2021 21:06:07.475,464.628
239,26 Sep 2021 22:34:16.504,26 Sep 2021 22:42:03.656,467.151
240,27 Sep 2021 10:14:18.364,27 Sep 2021 10:22:05.116,466.752
241,27 Sep 2021 11:50:14.290,27 Sep 2021 11:57:59.283,464.993
242,27 Sep 2021 21:12:07.795,27 Sep 2021 21:20:26.022,498.227
243,27 Sep 2021 22:49:01.948,27 Sep 2021 22:55:50.170,408.222
244,28 Sep 2021 10:28:14.076,28 Sep 2021 10:36:35.870,501.793
245,28 Sep 2021 12:04:38.885,28 Sep 2021 12:11:32.950,414.065
246,28 Sep 2021 19:53:51.286,28 Sep 2021 19:56:34.643,163.357
247,28 Sep 2021 21:26:02.983,28 Sep 2021 21:34:39.603,516.620
248,28 Sep 2021 23:04:09.665,28 Sep 2021 23:09:20.147,310.482
249,29 Sep 2021 10:42:16.270,29 Sep 2021 10:50:54.739,518.469
250,29 Sep 2021 12:19:12.515,29 Sep 2021 12:24:52.277,339.762
251,29 Sep 2021 20:06:31.559,29 Sep 2021 20:11:40.284,308.725
252,29 Sep 2021 21:40:08.104,29 Sep 2021 21:48:48.517,520.413
253,29 Sep 2021 23:20:25.957,29 Sep 2021 23:21:47.534,81.577
254,30 Sep 2021 09:22:02.977,30 Sep 2021 09:26:27.108,264.132
255,30 Sep 2021 10:56:23.654,30 Sep 2021 11:05:03.085,519.431
256,30 Sep 2021 12:34:04.837,30 Sep 2021 12:37:47.590,222.753
257,30 Sep 2021 20:19:44.928,30 Sep 2021 20:26:18.165,393.237
258,30 Sep 2021 21:54:23.491,30 Sep 2021 22:02:52.469,508.978
259,1 Oct 2021 09:35:23.671,1 Oct 2021 09:41:46.001,382.330
260,1 Oct 2021 11:10:35.734,1 Oct 2021 11:19:01.462,505.728
261,1 Oct 2021 20:33:14.461,1 Oct 2021 20:40:45.196,450.735
262,1 Oct 2021 22:08:50.213,1 Oct 2021 22:16:50.465,480.252
263,2 Oct 2021 09:49:06.080,2 Oct 2021 09:56:37.364,451.285
264,2 Oct 2021 11:24:52.608,2 Oct 2021 11:32:49.774,477.166
265,2 Oct 2021 20:46:56.035,2 Oct 2021 20:55:05.475,489.440
266,2 Oct 2021 22:23:30.555,2 Oct 2021 22:30:40.334,429.780
267,3 Oct 2021 10:02:59.304,3 Oct 2021 10:11:12.320,493.016
268,3 Oct 2021 11:39:15.107,3 Oct 2021 11:46:27.190,432.083
269,3 Oct 2021 19:29:30.273,3 Oct 2021 19:30:30.494,60.221
270,3 Oct 2021 21:00:48.089,3 Oct 2021 21:09:20.538,512.450
271,3 Oct 2021 22:38:29.906,3 Oct 2021 22:44:16.864,346.958
272,4 Oct 2021 10:16:59.664,4 Oct 2021 10:25:34.697,515.033
273,4 Oct 2021 11:53:45.394,4 Oct 2021 11:59:51.519,366.124
274,4 Oct 2021 19:41:35.749,4 Oct 2021 19:46:09.270,273.521
275,4 Oct 2021 21:14:50.102,4 Oct 2021 21:23:30.916,520.814
276,4 Oct 2021 22:54:08.350,4 Oct 2021 22:57:20.201,191.851
277,5 Oct 2021 08:57:10.575,5 Oct 2021 09:00:35.279,204.704
278,5 Oct 2021 10:31:05.510,5 Oct 2021 10:39:46.241,520.731
279,5 Oct 2021 12:08:29.760,5 Oct 2021 12:12:56.446,266.687
280,5 Oct 2021 19:54:42.090,5 Oct 2021 20:00:52.516,370.426
281,5 Oct 2021 21:29:02.213,5 Oct 2021 21:37:36.488,514.275
282,6 Oct 2021 09:10:17.299,6 Oct 2021 09:16:10.002,352.704
283,6 Oct 2021 10:45:16.137,6 Oct 2021 10:53:47.709,511.573
284,6 Oct 2021 20:08:07.238,6 Oct 2021 20:15:22.278,435.039
285,6 Oct 2021 21:43:25.226,6 Oct 2021 21:51:36.504,491.278
286,7 Oct 2021 09:23:54.810,7 Oct 2021 09:31:08.052,433.242
287,7 Oct 2021 10:59:31.470,7 Oct 2021 11:07:39.208,487.738
288,7 Oct 2021 20:21:45.291,7 Oct 2021 20:29:44.427,479.136
289,7 Oct 2021 21:58:00.953,7 Oct 2021 22:05:29.260,448.307
290,8 Oct 2021 09:37:45.218,8 Oct 2021 09:45:47.554,482.336
291,8 Oct 2021 11:13:52.066,8 Oct 2021 11:21:20.179,448.113
292,8 Oct 2021 20:35:34.167,8 Oct 2021 20:44:01.027,506.861
293,8 Oct 2021 22:12:53.415,8 Oct 2021 22:19:10.888,377.473
294,9 Oct 2021 09:51:43.584,9 Oct 2021 10:00:13.611,510.027
295,9 Oct 2021 11:28:19.545,9 Oct 2021 11:34:48.967,389.421
296,9 Oct 2021 19:16:43.750,9 Oct 2021 19:20:34.963,231.212
297,9 Oct 2021 20:49:33.085,9 Oct 2021 20:58:12.853,519.768
298,9 Oct 2021 22:28:14.621,9 Oct 2021 22:32:29.590,254.969
299,10 Oct 2021 08:32:35.517,10 Oct 2021 08:34:25.502,109.984
300,10 Oct 2021 10:05:47.828,10 Oct 2021 10:14:28.417,520.589
301,10 Oct 2021 11:42:58.267,10 Oct 2021 11:48:01.208,302.941
302,10 Oct 2021 19:29:40.996,10 Oct 2021 19:35:25.637,344.641
303,10 Oct 2021 21:03:41.991,10 Oct 2021 21:12:19.972,517.981
304,11 Oct 2021 08:45:13.473,11 Oct 2021 08:50:30.884,317.411
305,11 Oct 2021 10:19:57.002,11 Oct 2021 10:28:32.990,515.988
306,11 Oct 2021 11:58:07.244,11 Oct 2021 12:00:37.857,150.612
307,11 Oct 2021 19:43:01.250,11 Oct 2021 19:49:58.634,417.384
308,11 Oct 2021 21:18:01.466,11 Oct 2021 21:26:21.846,500.380
309,12 Oct 2021 08:58:44.742,12 Oct 2021 09:05:36.989,412.247
310,12 Oct 2021 10:34:10.837,12 Oct 2021 10:42:27.625,496.788
311,12 Oct 2021 19:56:35.595,12 Oct 2021 20:04:22.844,467.249
312,12 Oct 2021 21:32:32.937,12 Oct 2021 21:40:17.143,464.206
313,13 Oct 2021 09:12:31.884,13 Oct 2021 09:20:21.499,469.615
314,13 Oct 2021 10:48:29.682,13 Oct 2021 10:56:11.992,462.310
315,13 Oct 2021 20:10:21.218,13 Oct 2021 20:18:41.055,499.837
316,13 Oct 2021 21:47:19.492,13 Oct 2021 21:54:02.906,403.414
317,14 Oct 2021 09:26:28.069,14 Oct 2021 09:34:51.432,503.364
318,14 Oct 2021 11:02:54.731,14 Oct 2021 11:09:44.866,410.135
319,14 Oct 2021 18:51:58.008,14 Oct 2021 18:54:54.916,176.908
320,14 Oct 2021 20:24:17.035,14 Oct 2021 20:32:54.333,517.299
321,14 Oct 2021 22:02:29.169,14 Oct 2021 22:07:31.293,302.124
322,15 Oct 2021 09:40:30.617,15 Oct 2021 09:49:09.601,518.984
323,15 Oct 2021 11:17:29.131,15 Oct 2021 11:23:03.084,333.953
324,15 Oct 2021 19:04:41.969,15 Oct 2021 19:09:57.213,315.244
325,15 Oct 2021 20:38:22.792,15 Oct 2021 20:47:02.949,520.157
326,15 Oct 2021 22:19:14.092,15 Oct 2021 22:19:30.439,16.347
327,16 Oct 2021 08:20:13.300,16 Oct 2021 08:24:47.536,274.237
328,16 Oct 2021 09:54:38.307,16 Oct 2021 10:03:17.307,519.000
329,16 Oct 2021 11:32:23.523,16 Oct 2021 11:35:55.983,212.459
330,16 Oct 2021 19:17:56.601,16 Oct 2021 19:24:34.169,397.568
331,16 Oct 2021 20:52:38.866,16 Oct 2021 21:01:06.561,507.695
332,17 Oct 2021 08:33:36.120,17 Oct 2021 08:40:03.919,387.800
333,17 Oct 2021 10:08:50.683,17 Oct 2021 10:17:15.048,504.365
334,17 Oct 2021 19:31:26.982,17 Oct 2021 19:39:00.689,453.706
335,17 Oct 2021 21:07:06.367,17 Oct 2021 21:15:04.126,477.759
336,18 Oct 2021 08:47:19.411,18 Oct 2021 08:54:54.046,454.635
337,18 Oct 2021 10:23:07.886,18 Oct 2021 10:31:02.703,474.818
